set,name,foil,ck,mkm
Champions of Kamigawa,Forbidden Orchard,FALSE,"3,81","2,12"
Alliances,Force of Will,FALSE,"38,13","42,30"
Legends,Force Spike,FALSE,"0,07","0,90"
Lorwyn,Forced Fruition,FALSE,"5,51","2,60"
Commander 2016,Forgotten Ancient,FALSE,"0,08","0,09"
Onslaught,Forgotten Cave,FALSE,"0,04","0,02"
Rise of the Eldrazi,Forked Bolt,FALSE,"0,08","0,23"
Rise of the Eldrazi,Forked Bolt,TRUE,"4,66","7,11"
Amonkhet,Forsake the Worldly,TRUE,"0,08","0,05"
Time Spiral,Fortify,TRUE,"0,07","0,09"
Time Spiral,Fortify,TRUE,"0,07","0,09"
Shadows over Innistrad,Foul Orchard,TRUE,"0,08","0,06"
Portal: Second Age,Foul Spirit,FALSE,"0,17","0,16"
Gatecrash,Foundry Street Denizen,TRUE,"0,45","0,26"
Gatecrash,Foundry Street Denizen,FALSE,"0,04","0,02"
Planechase Anthology,Fractured Powerstone,FALSE,"0,09","0,04"
Shadowmoor,Fracturing Gust,FALSE,"3,56","3,01"
Urza's Legacy,Frantic Search,TRUE,"9,75","13,28"
Duel Decks: Elspeth vs. Tezzeret,Frogmite,FALSE,"0,05","0,02"
Duel Decks: Elspeth vs. Tezzeret,Frogmite,FALSE,"0,05","0,02"
Modern Masters 2015,Frogmite,TRUE,"0,07","0,06"
Duel Decks: Elspeth vs. Tezzeret,Frogmite,FALSE,"0,05","0,02"
Battle for Zendikar,From Beyond,TRUE,"0,38","0,44"
Fate Reforged,Frontier Siege,TRUE,"0,75","0,63"
Magic 2011,Frost Titan,FALSE,"0,25","0,41"
Innistrad,Full Moon's Rise,FALSE,"0,05","0,02"
Eternal Masters,Future Sight,FALSE,"0,14","0,13"
Onslaught,Future Sight,FALSE,"0,08","0,23"
Ice Age,Fyndhorn Elves,FALSE,"0,21","0,36"
Lorwyn,Gaddock Teeg,FALSE,"7,41","6,21"
Urza's Saga,Gaea's Cradle,FALSE,"152,53","162,00"
Urza's Saga,Gaea's Embrace,FALSE,"0,16","0,09"
Magic 2011,Gaea's Revenge,FALSE,"0,21","0,23"
Lorwyn,Galepowder Mage,FALSE,"0,08","0,09"
Scars of Mirrodin,Galvanic Blast,FALSE,"0,06","0,16"
Urza's Saga,Gamble,FALSE,"4,24","5,17"
Lorwyn,Garruk Wildspeaker,FALSE,"2,54","4,68"
Lorwyn,Garruk Wildspeaker,TRUE,"14,83","20,12"
Magic 2010,Garruk Wildspeaker,FALSE,"5,42","4,23"
Magic 2011,Garruk Wildspeaker,FALSE,"3,81","4,05"
Magic 2011,Garruk's Companion,TRUE,"0,13","0,17"
Magic 2014,Garruk's Horde,FALSE,"0,08","0,05"
Zendikar,Gatekeeper of Malakir,FALSE,"0,22","0,71"
Archenemy,Gathan Raiders,FALSE,"0,05","0,07"
Shards of Alara,Gather Specimens,FALSE,"0,08","0,08"
Innistrad,Gavony Township,FALSE,"2,75","4,28"
Innistrad,Geist of Saint Traft,FALSE,"6,19","5,39"
Commander 2014,Geist-Honored Monk,FALSE,"0,08","0,05"
Time Spiral,Gemhide Sliver,FALSE,"0,20","0,17"
Legions,Gempalm Incinerator,FALSE,"0,07","0,14"
Time Spiral,Gemstone Caverns,FALSE,"6,19","4,48"
Judgment,Genesis,FALSE,"1,57","2,21"
Dark Ascension,Geralf's Messenger,FALSE,"2,80","5,39"
Dark Ascension,Geralf's Mindcrusher,FALSE,"0,08","0,08"
Tempest,Gerrard's Battle Cry,FALSE,"0,04","0,18"
Mercadian Masques,Gerrard's Irregulars,TRUE,"0,05","0,05"
Apocalypse,Gerrard's Verdict,TRUE,"0,51","0,71"
New Phyrexia,Geth's Verdict,FALSE,"0,07","0,18"
Scars of Mirrodin,"Geth, Lord of the Vault",FALSE,"5,51","4,95"
Shadowmoor,Ghastlord of Fugue,FALSE,"1,95","1,76"
Odyssey,Ghastly Demise,FALSE,"0,04","0,02"
Odyssey,Ghastly Demise,TRUE,"0,64","1,33"
Commander 2011,"Ghave, Guru of Spores",FALSE,"0,51","0,18"
Magic Origins,Ghirapur Gearcrafter,TRUE,"0,08","0,04"
Urza's Legacy,Ghitu Slinger,TRUE,"0,64","0,27"
Gatecrash,Ghor-Clan Rampager,FALSE,"0,04","0,02"
Gatecrash,Ghor-Clan Rampager,FALSE,"0,04","0,02"
Dissension,Ghost Quarter,FALSE,"1,14","1,35"
Innistrad,Ghost Quarter,FALSE,"0,97","0,36"
Khans of Tarkir,Ghostfire Blade,FALSE,"0,08","0,02"
Avacyn Restored,Ghostly Flicker,TRUE,"0,64","2,66"
Avacyn Restored,Ghostly Flicker,FALSE,"0,04","0,02"
Conspiracy: Take the Crown,Ghostly Prison,FALSE,"1,10","0,41"
Champions of Kamigawa,Ghostly Prison,FALSE,"1,69","0,90"
Dark Ascension,Ghoultree,FALSE,"0,16","0,14"
Magic 2012,Gideon Jura,FALSE,"4,24","5,22"
Magic 2012,Gideon's Avenger,FALSE,"0,08","0,27"
Magic 2012,Gideon's Lawkeeper,TRUE,"0,07","0,14"
Ninth Edition,Gift of Estates,FALSE,"0,34","0,27"
Theros,Gift of Immortality,FALSE,"0,32","0,09"
Gatecrash,Gift of Orzhova,TRUE,"1,53","3,42"
Modern Masters 2017,Gifts Ungiven,TRUE,"3,39","5,40"
Modern Masters 2017,Gifts Ungiven,FALSE,"2,37","2,92"
Guildpact,Gigadrowse,FALSE,"0,04","0,02"
Urza's Saga,Gilded Drake,FALSE,"12,71","13,50"
Magic 2013,Gilded Lotus,FALSE,"6,78","6,29"
Morningtide,Gilt-Leaf Archdruid,FALSE,"1,27","1,34"
Lorwyn,Gilt-Leaf Palace,FALSE,"7,63","7,20"
Conflux,Giltspire Avenger,FALSE,"0,20","0,18"
Eldritch Moon,Gisa and Geralf,FALSE,"0,61","0,36"
Avacyn Restored,"Gisela, Blade of Goldnight",FALSE,"4,24","3,90"
New Phyrexia,Gitaxian Probe,FALSE,"0,68","0,89"
Ice Age,Glacial Chasm,FALSE,"0,38","1,35"
Magic 2010,Glacial Fortress,FALSE,"3,09","1,79"
Magic 2014,Gladecover Scout,TRUE,"0,28","0,77"
Mirrodin,Glimmervoid,FALSE,"8,90","9,45"
Champions of Kamigawa,Glimpse of Nature,FALSE,"9,75","8,10"
Kaladesh,Glint-Sleeve Artisan,TRUE,"0,05","0,04"
Mirrodin,Glissa Sunseeker,FALSE,"0,08","0,16"
Mirrodin Besieged,"Glissa, the Traitor",FALSE,"0,42","1,07"
New Phyrexia,Glistener Elf,FALSE,"0,25","0,17"
New Phyrexia,Glistening Oil,FALSE,"0,08","0,14"
Urza's Saga,Glorious Anthem,FALSE,"0,42","0,45"
Innistrad,Gnaw to the Bone,FALSE,"0,04","0,00"
Magic 2014,Gnawing Zombie,TRUE,"0,07","0,05"
Shards of Alara,Goblin Assault,FALSE,"0,08","0,14"
Tempest,Goblin Bombardment,FALSE,"0,68","0,32"
Zendikar,Goblin Bushwhacker,FALSE,"0,22","0,26"
Zendikar,Goblin Bushwhacker,TRUE,"3,81","3,59"
Mirrodin,Goblin Charbelcher,FALSE,"0,68","0,59"
Magic 2010,Goblin Chieftain,FALSE,"2,54","2,24"
Oath of the Gatewatch,Goblin Dark-Dwellers,FALSE,"0,08","0,14"
Return to Ravnica,Goblin Electromancer,TRUE,"0,38","0,54"
Magic 2012,Goblin Grenade,FALSE,"0,20","0,43"
Fate Reforged,Goblin Heelcutter,TRUE,"0,14","0,14"
Urza's Saga,Goblin Lackey,FALSE,"3,64","4,49"
Urza's Destiny,Goblin Marshal,FALSE,"0,08","0,23"
Urza's Saga,Goblin Matron,FALSE,"0,16","0,23"
Urza's Saga,Goblin Offensive,FALSE,"0,61","0,23"
Visions,Goblin Recruiter,FALSE,"0,38","0,68"
Onslaught,Goblin Sharpshooter,FALSE,"0,72","1,58"
Mirrodin Besieged,Goblin Wardriver,FALSE,"0,04","0,14"
Urza's Legacy,Goblin Welder,FALSE,"0,85","1,74"
Guildpact,Godless Shrine,FALSE,"9,32","7,20"
Theros,Gods Willing,TRUE,"0,07","0,16"
Shards of Alara,Godsire,FALSE,"3,81","2,13"
Return to Ravnica,Golgari Charm,FALSE,"0,04","0,02"
Ravnica: City of Guilds,Golgari Grave-Troll,FALSE,"0,85","1,76"
Ravnica: City of Guilds,Golgari Rot Farm,TRUE,"0,64","1,58"
Ravnica: City of Guilds,Golgari Rot Farm,FALSE,"0,04","0,02"
Modern Masters 2017,Golgari Signet,FALSE,"0,04","0,02"
Aether Revolt,Gonti's Aether Heart,FALSE,"0,21","0,09"
Magic 2010,Gorgon Flail,FALSE,"0,04","0,02"
Alliances,Gorilla Shaman,FALSE,"0,04","0,05"
Morningtide,Graceful Reprieve,TRUE,"0,05","0,09"
Scars of Mirrodin,Grafted Exoskeleton,FALSE,"0,08","0,02"
Magic 2012,Grand Abolisher,FALSE,"2,12","2,25"
Time Spiral,Grapeshot,FALSE,"0,04","0,07"
Eldritch Moon,Grapple with the Past,TRUE,"0,14","0,09"
Onslaught,Gratuitous Violence,FALSE,"0,68","0,54"
Commander 2011,Grave Pact,FALSE,"7,20","7,65"
Magic 2012,Grave Titan,FALSE,"5,08","7,16"
Dark Ascension,Gravecrawler,FALSE,"1,57","2,69"
Odyssey,Gravedigger,TRUE,"0,07","0,18"
Commander 2014,Gray Merchant of Asphodel,FALSE,"0,18","0,05"
Theros,Gray Merchant of Asphodel,TRUE,"1,69","2,25"
Zendikar,Grazing Gladehart,TRUE,"0,07","0,11"
Mirrodin,Great Furnace,FALSE,"0,28","0,17"
Magic 2010,Great Sable Stag,FALSE,"0,08","0,16"
Time Spiral,Greater Gargadon,FALSE,"0,76","1,53"
Commander 2013,Greed,FALSE,"0,21","0,09"
Mirrodin Besieged,Green Sun's Zenith,FALSE,"2,80","3,15"
Khans of Tarkir,Grim Haruspex,TRUE,"0,17","0,45"
Coldsnap,Grim Harvest,TRUE,"0,76","0,90"
Magic 2012,Grim Lavamancer,TRUE,"4,07","4,05"
Torment,Grim Lavamancer,FALSE,"1,61","3,60"
Magic 2012,Grim Lavamancer,FALSE,"1,14","2,25"
Urza's Legacy,Grim Monolith,FALSE,"35,59","46,80"
Innistrad,"Grimgrin, Corpse-Born",FALSE,"1,53","2,60"
Innistrad,Grimoire of the Dead,FALSE,"1,10","0,90"
Modern Masters 2017,Griselbrand,FALSE,"2,97","5,85"
Avacyn Restored,Griselbrand,FALSE,"2,97","5,85"
Return to Ravnica,Grisly Salvage,TRUE,"0,10","0,18"
Gatecrash,Ground Assault,TRUE,"0,07","0,02"
Mercadian Masques,Groundskeeper,TRUE,"0,64","0,89"
Worldwake,Groundswell,FALSE,"0,08","0,23"
Gatecrash,Gruul Guildgate,TRUE,"0,14","0,08"
Commander 2013,Gruul Guildgate,FALSE,"0,05","0,02"
Dragon's Maze,Gruul Guildgate,TRUE,"0,08","0,13"
Archenemy,Gruul Signet,FALSE,"0,16","0,09"
Modern Masters 2017,Gruul Signet,FALSE,"0,05","0,00"
Guildpact,Gruul Signet,TRUE,"0,38","0,72"
Guildpact,Gruul Turf,FALSE,"0,04","0,03"
Shadows over Innistrad,Gryff's Boon,TRUE,"0,17","0,12"
Shadows over Innistrad,Gryff's Boon,FALSE,"0,04","0,01"
Dissension,Guardian of the Guildpact,FALSE,"0,04","0,02"
Lorwyn,Guile,FALSE,"0,17","0,09"
Commander 2016,Guiltfeeder,FALSE,"0,08","0,07"
Judgment,Guiltfeeder,FALSE,"0,08","0,27"
Fate Reforged,Gurmag Angler,TRUE,"5,08","8,10"
Duel Decks: Jace vs. Chandra,Gush,FALSE,"1,69","1,04"
Mercadian Masques,Gush,FALSE,"0,55","0,89"
Shadowmoor,Guttural Response,FALSE,"0,21","0,43"
Conflux,"Gwafa Hazid, Profiteer",FALSE,"0,08","0,09"
Worldwake,Hada Freeblade,FALSE,"0,16","0,44"
Worldwake,Halimar Depths,FALSE,"0,05","0,09"
Worldwake,Halimar Depths,TRUE,"1,72","0,86"
Champions of Kamigawa,Hall of the Bandit Lord,FALSE,"5,93","3,60"
Theros,Hammer of Purphoros,FALSE,"0,17","0,09"
Champions of Kamigawa,Hanabi Blast,TRUE,"0,05","0,13"
Amonkhet,"Hapatra, Vizier of Poisons",FALSE,"0,25","0,22"
Worldwake,Harabaz Druid,TRUE,"1,69","3,60"
Worldwake,Harabaz Druid,FALSE,"0,81","1,67"
Commander 2016,Hardened Scales,FALSE,"0,85","0,89"
Duel Decks: Garruk vs. Liliana,Harmonize,FALSE,"0,06","0,18"
Eternal Masters,Harmonize,FALSE,"0,04","0,05"
Modern Masters 2017,Harmonize,FALSE,"0,04","0,02"
Invasion,Harrow,TRUE,"1,36","1,17"
Amonkhet,Harvest Season,FALSE,"0,08","0,02"
Conspiracy: Take the Crown,Harvester of Souls,TRUE,"0,64","0,45"
Commander Anthology,Haunted Fengraf,FALSE,"0,05","0,02"
Dark Ascension,Haunted Fengraf,TRUE,"0,42","2,69"
Odyssey,Haunting Echoes,FALSE,"0,08","0,18"
Dark Ascension,Havengul Lich,FALSE,"0,55","1,80"
Time Spiral,Havenwood Wurm,TRUE,"0,05","0,09"
Amonkhet,Hazoret's Monument,TRUE,"0,07","0,10"
Champions of Kamigawa,Heartbeat of Spring,FALSE,"0,93","0,36"
Champions of Kamigawa,Hearth Kami,TRUE,"0,07","0,08"
Conspiracy,Heartless Hidetsugu,FALSE,"0,20","0,05"
Innistrad,Heartless Summoning,FALSE,"0,21","0,36"
Lorwyn,Heat Shimmer,FALSE,"0,08","0,09"
Zendikar,Hedron Crab,TRUE,"3,26","3,51"
Zendikar,Hedron Crab,FALSE,"1,48","1,34"
Onslaught,Heedless One,FALSE,"0,17","0,18"
Theros,"Heliod, God of the Sun",FALSE,"1,53","1,98"
Legends,Hell's Caretaker,FALSE,"13,98","13,50"
Shards of Alara,Hell's Thunder,FALSE,"0,08","0,14"
Zendikar,Hellkite Charger,FALSE,"0,08","0,09"
Shards of Alara,Hellkite Overlord,FALSE,"3,81","3,23"
Commander 2016,Hellkite Tyrant,FALSE,"1,48","0,45"
Conflux,Hellspark Elemental,FALSE,"0,08","0,23"
Avacyn Restored,Herald of War,FALSE,"0,68","0,45"
Morningtide,Heritage Druid,FALSE,"2,33","2,25"
Theros,Hero's Downfall,FALSE,"1,10","0,89"
New Phyrexia,Hex Parasite,FALSE,"0,28","0,17"
Stronghold,Hibernation Sliver,FALSE,"0,24","0,13"
Urza's Saga,Hidden Herd,FALSE,"0,08","0,17"
Tenth Edition,Hidden Horror,TRUE,"0,17","0,54"
Amonkhet,Hieroglyphic Illumination,FALSE,"0,04","0,00"
Mercadian Masques,High Market,FALSE,"1,06","1,70"
Fallen Empires,High Tide,FALSE,"0,07","0,41"
Shadows over Innistrad,Highland Lake,TRUE,"0,14","0,05"
Champions of Kamigawa,Hinder,FALSE,"0,28","0,09"
Shards of Alara,Hindering Light,TRUE,"0,38","0,44"
Shards of Alara,Hindering Light,FALSE,"0,04","0,09"
Innistrad,Hinterland Harbor,FALSE,"3,14","2,25"
Magic 2010,Hive Mind,FALSE,"0,72","0,72"
Planeshift,Hobble,TRUE,"0,08","0,18"
Legions,Hollow Specter,FALSE,"0,08","0,09"
Avacyn Restored,Homicidal Seclusion,TRUE,"0,05","0,09"
Khans of Tarkir,Hooting Mandrills,TRUE,"0,45","0,23"
Aether Revolt,Hope of Ghirapur,FALSE,"0,18","0,09"
Legends,Horn of Deafening,FALSE,"2,54","2,64"
Champions of Kamigawa,"Horobi, Death's Wail",FALSE,"0,20","0,14"
Avacyn Restored,Hound of Griselbrand,FALSE,"0,08","0,08"
Commander 2011,Howling Mine,FALSE,"0,81","0,54"
Magic 2010,Howling Mine,FALSE,"0,85","0,68"
Lorwyn,Howltooth Hollow,FALSE,"0,08","0,09"
Planeshift,Hull Breach,TRUE,"1,19","1,22"
Tempest,Humility,FALSE,"9,32","10,78"
Dark Ascension,Hunger of the Howlpack,TRUE,"0,17","0,20"
Shadowmoor,Hungry Spriggan,TRUE,"0,08","0,09"
Shadowmoor,Hungry Spriggan,TRUE,"0,08","0,09"
Archenemy,Hunting Moa,FALSE,"0,05","0,02"
Fourth Edition,Hurkyl's Recall,FALSE,"1,27","2,39"
Commander 2011,Hydra Omnivore,FALSE,"1,69","1,34"
Ice Age,Hydroblast,FALSE,"0,04","0,16"
Rise of the Eldrazi,Hyena Umbra,TRUE,"1,69","4,05"
Eternal Masters,Hymn to Tourach,TRUE,"0,64","1,49"
Fallen Empires,Hymn to Tourach,FALSE,"0,05","0,45"
Magic 2010,Hypnotic Specter,FALSE,"0,31","0,80"
Magic 2010,Hypnotic Specter,TRUE,"2,97","2,69"
Theros,Hythonia the Cruel,FALSE,"0,21","0,18"
Anthologies,Icatian Javelineers,FALSE,"0,06","0,14"
Scars of Mirrodin,Ichor Rats,FALSE,"0,05","0,05"
Mirrodin Besieged,Ichor Wellspring,TRUE,"2,03","6,29"
Scars of Mirrodin,Ichorclaw Myr,FALSE,"0,22","0,18"
Torment,Ichorid,FALSE,"0,51","0,81"
Ice Age,Icy Manipulator,FALSE,"0,04","0,05"
Urza's Saga,Ill-Gotten Gains,FALSE,"0,08","0,23"
Gatecrash,Illusionist's Bracers,FALSE,"1,27","0,45"
Gatecrash,Illusionist's Bracers,TRUE,"3,26","2,69"
Lorwyn,Immaculate Magistrate,FALSE,"0,31","0,90"
Dark Ascension,Immerwolf,FALSE,"0,08","0,68"
Modern Masters,Imperiosaur,TRUE,"0,07","0,04"
Lorwyn,Imperious Perfect,FALSE,"0,68","0,62"
Urza's Destiny,Incendiary,TRUE,"0,07","0,32"
Lorwyn,Incendiary Command,FALSE,"0,34","0,17"
Magic 2012,Incinerate,TRUE,"0,10","0,41"
Duel Decks: Jace vs. Chandra,Incinerate,FALSE,"0,06","0,06"
Dark Ascension,Increasing Ambition,FALSE,"0,42","0,36"
Dark Ascension,Increasing Vengeance,TRUE,"1,53","1,58"
Dark Ascension,Increasing Vengeance,FALSE,"0,42","0,45"
Magic 2010,Indestructibility,FALSE,"0,21","0,09"
Scars of Mirrodin,Indomitable Archangel,FALSE,"0,21","0,43"
Classic Sixth Edition,Infernal Contract,FALSE,"0,08","0,32"
Weatherlight,Infernal Tribute,FALSE,"0,25","0,35"
Dissension,Infernal Tutor,FALSE,"12,71","11,70"
Magic 2015,Inferno Fist,TRUE,"0,05","0,06"
Magic 2011,Inferno Titan,FALSE,"0,61","0,68"
Archenemy,Infest,FALSE,"0,05","0,05"
Lorwyn,Ingot Chewer,FALSE,"0,05","0,05"
Lorwyn,Ingot Chewer,TRUE,"5,08","6,72"
Conflux,Inkwell Leviathan,FALSE,"0,25","0,13"
Odyssey,Innocent Blood,FALSE,"0,04","0,08"
Odyssey,Innocent Blood,TRUE,"1,53","4,01"
Torment,Insidious Dreams,TRUE,"6,61","9,00"
Shadows over Innistrad,Insolent Neonate,TRUE,"0,53","1,35"
Commander 2011,Insurrection,FALSE,"3,98","2,52"
Innistrad,Intangible Virtue,FALSE,"0,05","0,02"
Urza's Legacy,Intervene,TRUE,"0,17","0,33"
Zendikar,Into the Roil,TRUE,"0,76","0,80"
Urza's Saga,Intrepid Hero,FALSE,"0,32","0,66"
Magic 2013,Intrepid Hero,FALSE,"0,13","0,33"
Tempest,Intuition,FALSE,"21,19","17,55"
Stronghold,Invasion Plans,FALSE,"0,07","0,09"
Kaladesh,Inventors' Fair,TRUE,"2,97","3,12"
Kaladesh,Inventors' Fair,FALSE,"0,32","0,18"
Eternal Masters,Invigorate,FALSE,"0,04","0,04"
Innistrad,Invisible Stalker,FALSE,"0,18","0,23"
Guildpact,Invoke the Firemind,FALSE,"0,08","0,09"
Commander 2016,"Iroas, God of Victory",FALSE,"2,12","2,15"
Eldritch Moon,"Ishkanah, Grafwidow",FALSE,"0,21","0,54"
Innistrad,Isolated Chapel,FALSE,"2,54","1,80"
Dissension,Isperia the Inscrutable,TRUE,"2,54","1,00"
Return to Ravnica,"Isperia, Supreme Judge",FALSE,"0,21","0,16"
Time Spiral,"Ith, High Arcanist",FALSE,"0,08","0,06"
Alliances,Ivory Gargoyle,FALSE,"0,06","0,13"
Antiquities,Ivory Tower,FALSE,"3,98","8,54"
Time Spiral,Ixidron,FALSE,"0,08","0,14"
Guildpact,Izzet Boilerworks,TRUE,"0,51","1,26"
Modern Masters 2017,Izzet Charm,FALSE,"0,04","0,05"
Modern Masters 2017,Izzet Charm,FALSE,"0,04","0,05"
Guildpact,Izzet Chronarch,TRUE,"0,51","0,18"
Modern Masters 2017,Izzet Signet,FALSE,"0,18","0,02"
Guildpact,Izzet Signet,TRUE,"2,71","2,47"
Lorwyn,Jace Beleren,FALSE,"3,81","3,11"
Magic 2012,Jace's Archivist,FALSE,"0,34","0,09"
Magic 2013,Jace's Phantasm,FALSE,"0,38","0,89"
Worldwake,"Jace, the Mind Sculptor",FALSE,"33,05","35,54"
Lorwyn,Jagged-Scar Archers,FALSE,"0,32","0,32"
Return to Ravnica,"Jarad, Golgari Lich Lord",FALSE,"0,21","0,43"
Time Spiral,"Jaya Ballard, Task Mage",FALSE,"0,08","0,17"
Alara Reborn,"Jenara, Asura of War",FALSE,"1,10","1,57"
Tempest,Jet Medallion,FALSE,"3,14","1,98"
Ice Age,Jeweled Amulet,FALSE,"0,25","0,07"
New Phyrexia,"Jin-Gitaxias, Core Augur",FALSE,"7,20","6,74"
Tempest,Jinxed Idol,FALSE,"0,05","0,16"
Saviors of Kamigawa,"Jiwari, the Earth Aflame",FALSE,"0,08","0,04"
Legends,Johan,FALSE,"4,32","251,10"
Ice Age,Jokulhaups,FALSE,"1,48","1,34"
Worldwake,Joraga Warcaller,FALSE,"1,10","1,79"
Oath of the Gatewatch,"Jori En, Ruin Diver",TRUE,"0,17","0,22"
Duel Decks: Elspeth vs. Tezzeret,Journey to Nowhere,FALSE,"0,44","0,41"
Zendikar,Journey to Nowhere,FALSE,"0,21","0,27"
Zendikar,Journey to Nowhere,TRUE,"2,37","3,38"
Champions of Kamigawa,"Jugan, the Rising Star",TRUE,"1,69","3,60"
Shards of Alara,Jund Charm,FALSE,"0,04","0,05"
Shards of Alara,Jund Panorama,FALSE,"0,04","0,02"
Khans of Tarkir,Jungle Hollow,TRUE,"0,10","0,09"
Khans of Tarkir,Jungle Hollow,FALSE,"0,05","0,00"
Modern Masters 2017,Jungle Shrine,TRUE,"0,11","0,09"
Modern Masters 2017,Jungle Shrine,FALSE,"0,04","0,02"
Shards of Alara,Jungle Shrine,FALSE,"0,08","0,14"
Urza's Destiny,Junk Diver,TRUE,"19,32","22,49"
Zendikar,Jwar Isle Refuge,FALSE,"0,04","0,02"
Commander 2011,Kaalia of the Vast,FALSE,"11,02","3,15"
Zendikar,Kabira Evangel,TRUE,"0,76","3,03"
Zendikar,Kabira Evangel,FALSE,"0,42","1,22"
Champions of Kamigawa,Kabuto Moth,TRUE,"0,08","0,05"
Archenemy,Kaervek the Merciless,FALSE,"1,91","0,70"
Worldwake,Kalastria Highborn,FALSE,"3,56","3,38"
Commander 2016,Kalonian Hydra,FALSE,"1,95","2,79"
Onslaught,"Kamahl, Fist of Krosa",TRUE,"11,86","13,50"
Onslaught,"Kamahl, Fist of Krosa",FALSE,"2,54","1,80"
Eternal Masters,Karakas,TRUE,"25,42","51,10"
Theros,Karametra's Acolyte,TRUE,"0,08","0,05"
Urza's Legacy,Karmic Guide,TRUE,"31,78","53,99"
Odyssey,Karmic Justice,FALSE,"1,27","1,11"
Ice Age,Karplusan Yeti,FALSE,"0,05","0,17"
Alara Reborn,"Karrthus, Tyrant of Jund",FALSE,"14,41","15,25"
Saviors of Kamigawa,"Kataki, War's Wage",FALSE,"1,27","1,26"
Duel Decks: Heroes vs. Monsters,Kavu Predator,FALSE,"0,07","0,02"
Zendikar,Kazandu Blademaster,FALSE,"0,05","0,45"
Zendikar,Kazandu Refuge,TRUE,"0,42","0,23"
Zendikar,Kazandu Refuge,FALSE,"0,04","0,02"
Commander 2013,Kazandu Tuskcaller,FALSE,"0,08","0,12"
Zendikar,Kazuul Warlord,FALSE,"0,08","0,09"
Shards of Alara,Kederekt Leviathan,TRUE,"1,36","0,72"
Shards of Alara,Kederekt Leviathan,FALSE,"0,23","0,09"
Conflux,Kederekt Parasite,FALSE,"0,81","0,36"
Shards of Alara,Keeper of Progenitus,FALSE,"0,08","0,09"
Amonkhet,Kefnet's Monument,TRUE,"0,07","0,08"
Champions of Kamigawa,"Keiga, the Tide Star",FALSE,"3,09","1,76"
Urza's Destiny,Keldon Champion,TRUE,"0,14","1,32"
Urza's Destiny,Keldon Champion,TRUE,"0,14","1,32"
Commander 2014,"Kemba, Kha Regent",FALSE,"0,08","0,02"
Kaladesh,Key to the City,FALSE,"0,08","0,05"
Worldwake,Khalni Garden,TRUE,"0,21","0,77"
Zendikar,Khalni Heart Expedition,FALSE,"0,04","0,05"
Rise of the Eldrazi,Khalni Hydra,FALSE,"5,93","8,06"
Avacyn Restored,Killing Wave,FALSE,"0,22","0,36"
Legions,Kilnmouth Dragon,FALSE,"0,08","0,45"
Gatecrash,Kingpin's Pet,TRUE,"0,14","0,13"
Morningtide,Kinsbaile Borderguard,FALSE,"0,51","0,35"
Betrayers of Kamigawa,"Kira, Great Glass-Spinner",FALSE,"8,05","8,55"
Eternal Masters,Kird Ape,TRUE,"0,07","0,14"
Odyssey,Kirtar's Desire,TRUE,"0,07","0,09"
Magic 2011,Knight Exemplar,FALSE,"1,44","1,91"
Rise of the Eldrazi,Knight of Cliffhaven,TRUE,"0,05","0,08"
Lorwyn,Knight of Meadowgrain,FALSE,"0,68","0,68"
Alara Reborn,Knight of New Alara,FALSE,"0,17","0,27"
Conflux,Knight of the Reliquary,FALSE,"2,54","4,95"
Shards of Alara,Knight of the White Orchid,FALSE,"0,51","0,89"
Shards of Alara,Knight-Captain of Eos,FALSE,"0,28","0,14"
Shadowmoor,Knollspine Dragon,FALSE,"3,14","1,80"
Conflux,Knotvine Mystic,TRUE,"0,14","0,18"
Alara Reborn,Knotvine Paladin,FALSE,"0,08","0,14"
Morningtide,Knowledge Exploitation,FALSE,"0,76","0,45"
Lorwyn,Knucklebone Witch,FALSE,"0,28","0,09"
Modern Masters,Kodama's Reach,TRUE,"1,19","0,81"
Champions of Kamigawa,Kodama's Reach,FALSE,"0,38","0,05"
Portal: Three Kingdoms,"Kongming, ""Sleeping Dragon""",FALSE,"3,81","4,05"
Worldwake,Kor Firewalker,FALSE,"0,05","0,27"
Nemesis,Kor Haven,FALSE,"3,39","4,77"
Zendikar,Kor Sanctifiers,TRUE,"0,17","0,36"
Duel Decks: Elspeth vs. Kiora,Kor Skyfisher,FALSE,"0,06","0,02"
Duel Decks: Elspeth vs. Kiora,Kor Skyfisher,FALSE,"0,06","0,02"
Future Sight,"Korlash, Heir to Blackblade",TRUE,"6,78","12,38"
Future Sight,"Korlash, Heir to Blackblade",FALSE,"2,12","1,76"
Scars of Mirrodin,Koth of the Hammer,FALSE,"4,66","6,57"
Rise of the Eldrazi,Kozilek's Predator,TRUE,"0,07","0,09"
Oath of the Gatewatch,"Kozilek, the Great Distortion",FALSE,"2,54","1,78"
Magic 2013,Krenko's Command,TRUE,"1,53","1,16"
Shards of Alara,Kresh the Bloodbraided,FALSE,"1,10","0,72"
Odyssey,Krosan Beast,FALSE,"0,23","0,45"
Time Spiral,Krosan Grip,FALSE,"0,68","0,09"
Time Spiral,Krosan Grip,TRUE,"2,97","2,43"
Onslaught,Krosan Tusker,TRUE,"0,38","0,72"
Judgment,Krosan Verge,FALSE,"0,06","0,08"
Judgment,Krosan Wayfarer,TRUE,"0,08","0,14"
Ice Age,Krovikan Vampire,FALSE,"0,05","0,05"
