set;name;foil;ck;mkm;available;profit;profitpct
Gatecrash;One Thousand Lashes;TRUE;0,41;0,11;12;-0,3;-0,731707317
Invasion;Sky Weaver;TRUE;0,41;0,11;5;-0,3;-0,731707317
Judgment;Serene Sunset;TRUE;0,41;0,11;5;-0,3;-0,731707317
Legions;Branchsnap Lorian;TRUE;0,41;0,11;7;-0,3;-0,731707317
Legions;Dreamborn Muse;FALSE;0,41;0,11;8;-0,3;-0,731707317
Lorwyn;Herbal Poultice;TRUE;0,41;0,11;14;-0,3;-0,731707317
Lorwyn;Woodland Changeling;TRUE;0,41;0,11;6;-0,3;-0,731707317
Lorwyn;Wren's Run Packmaster;FALSE;0,41;0,11;4;-0,3;-0,731707317
Mercadian Masques;Dark Ritual;FALSE;0,41;0,11;16;-0,3;-0,731707317
Mirrodin Besieged;Neurok Commando;TRUE;0,41;0,11;8;-0,3;-0,731707317
Mirrodin Besieged;Virulent Wound;TRUE;0,41;0,11;17;-0,3;-0,731707317
Odyssey;Puppeteer;TRUE;0,41;0,11;2;-0,3;-0,731707317
Planar Chaos;Pouncing Wurm;TRUE;0,41;0,11;1;-0,3;-0,731707317
Scars of Mirrodin;Trigon of Infestation;TRUE;0,41;0,11;3;-0,3;-0,731707317
Scourge;Day of the Dragons;FALSE;0,41;0,11;1;-0,3;-0,731707317
Tenth Edition;Cho-Manno, Revolutionary;FALSE;0,41;0,11;1;-0,3;-0,731707317
Tenth Edition;Phantom Warrior;TRUE;0,41;0,11;4;-0,3;-0,731707317
Zendikar;Frontier Guide;TRUE;0,41;0,11;8;-0,3;-0,731707317
Aether Revolt;Inspiring Statuary;TRUE;1,68;0,45;7;-1,23;-0,732142857
Aether Revolt;Sram's Expertise;TRUE;1,68;0,45;7;-1,23;-0,732142857
Anthologies;Mirri, Cat Warrior;FALSE;1,68;0,45;8;-1,23;-0,732142857
Apocalypse;Order // Chaos;TRUE;1,68;0,45;3;-1,23;-0,732142857
Avacyn Restored;Champion of Lambholt;FALSE;1,68;0,45;8;-1,23;-0,732142857
Avacyn Restored;Herald of War;FALSE;1,68;0,45;8;-1,23;-0,732142857
Battle for Zendikar;Omnath, Locus of Rage;FALSE;1,68;0,45;8;-1,23;-0,732142857
Limited Edition Beta;Sea Serpent;FALSE;1,68;0,45;1;-1,23;-0,732142857
Betrayers of Kamigawa;Genju of the Spires;TRUE;1,68;0,45;2;-1,23;-0,732142857
Betrayers of Kamigawa;Ornate Kanzashi;TRUE;1,68;0,45;3;-1,23;-0,732142857
Champions of Kamigawa;Tide of War;TRUE;1,68;0,45;8;-1,23;-0,732142857
Commander 2016;Soul of New Phyrexia;FALSE;1,68;0,45;8;-1,23;-0,732142857
Conflux;Mark of Asylum;FALSE;1,68;0,45;8;-1,23;-0,732142857
Conspiracy;Dimir Doppelganger;TRUE;1,68;0,45;8;-1,23;-0,732142857
Conspiracy: Take the Crown;Sangromancer;TRUE;1,68;0,45;8;-1,23;-0,732142857
Dissension;Novijen Sages;TRUE;1,68;0,45;5;-1,23;-0,732142857
Dissension;Supply // Demand;TRUE;1,68;0,45;9;-1,23;-0,732142857
Dragons of Tarkir;Negate;TRUE;1,68;0,45;3;-1,23;-0,732142857
Eighth Edition;Blanchwood Armor;TRUE;1,68;0,45;6;-1,23;-0,732142857
Eighth Edition;Confiscate;TRUE;1,68;0,45;14;-1,23;-0,732142857
Eighth Edition;Karma;TRUE;1,68;0,45;5;-1,23;-0,732142857
Eighth Edition;Vernal Bloom;FALSE;1,68;0,45;5;-1,23;-0,732142857
Eldritch Moon;Voldaren Pariah // Abolisher of Bloodlines;TRUE;1,68;0,45;8;-1,23;-0,732142857
Fourth Edition;Nevinyrral's Disk;FALSE;1,68;0,45;1;-1,23;-0,732142857
Gatecrash;Stolen Identity;TRUE;1,68;0,45;8;-1,23;-0,732142857
Guildpact;Djinn Illuminatus;TRUE;1,68;0,45;4;-1,23;-0,732142857
Innistrad;Intangible Virtue;TRUE;1,68;0,45;4;-1,23;-0,732142857
Invasion;Ravenous Rats;TRUE;1,68;0,45;1;-1,23;-0,732142857
Ixalan;Bishop of Rebirth;TRUE;1,68;0,45;8;-1,23;-0,732142857
Kaladesh;Madcap Experiment;TRUE;1,68;0,45;8;-1,23;-0,732142857
Lorwyn;Makeshift Mannequin;TRUE;1,68;0,45;9;-1,23;-0,732142857
Magic 2012;Island;TRUE;1,68;0,45;6;-1,23;-0,732142857
Magic 2012;Island;TRUE;1,68;0,45;6;-1,23;-0,732142857
Magic 2012;Island;TRUE;1,68;0,45;6;-1,23;-0,732142857
Magic 2012;Island;TRUE;1,68;0,45;6;-1,23;-0,732142857
Magic 2012;Time Reversal;FALSE;1,68;0,45;8;-1,23;-0,732142857
Magic 2014;Doom Blade;TRUE;1,68;0,45;15;-1,23;-0,732142857
Magic 2014;Island;TRUE;1,68;0,45;1;-1,23;-0,732142857
Magic 2014;Island;TRUE;1,68;0,45;1;-1,23;-0,732142857
Magic 2014;Island;TRUE;1,68;0,45;1;-1,23;-0,732142857
Magic 2014;Island;TRUE;1,68;0,45;1;-1,23;-0,732142857
Magic 2014;Sanguine Bond;FALSE;1,68;0,45;8;-1,23;-0,732142857
Magic Origins;Sphinx's Tutelage;FALSE;1,68;0,45;20;-1,23;-0,732142857
Magic Origins;Talent of the Telepath;TRUE;1,68;0,45;6;-1,23;-0,732142857
Mirrodin Besieged;Goblin Wardriver;TRUE;1,68;0,45;8;-1,23;-0,732142857
Mirrodin Besieged;Praetor's Counsel;FALSE;1,68;0,45;8;-1,23;-0,732142857
Modern Masters 2015;Spectral Procession;TRUE;1,68;0,45;11;-1,23;-0,732142857
Modern Masters 2017;Desecration Demon;TRUE;1,68;0,45;7;-1,23;-0,732142857
Morningtide;Bramblewood Paragon;FALSE;1,68;0,45;2;-1,23;-0,732142857
New Phyrexia;Gitaxian Probe;FALSE;1,68;0,45;20;-1,23;-0,732142857
Ninth Edition;Spellbook;TRUE;1,68;0,45;2;-1,23;-0,732142857
Odyssey;Charmed Pendant;TRUE;1,68;0,45;6;-1,23;-0,732142857
Onslaught;Callous Oppressor;TRUE;1,68;0,45;8;-1,23;-0,732142857
Onslaught;Gratuitous Violence;FALSE;1,68;0,45;4;-1,23;-0,732142857
Onslaught;Risky Move;TRUE;1,68;0,45;8;-1,23;-0,732142857
Planechase;Great Furnace;FALSE;1,68;0,45;8;-1,23;-0,732142857
Planeshift;Dralnu's Pet;TRUE;1,68;0,45;2;-1,23;-0,732142857
Portal: Three Kingdoms;Stone Rain;FALSE;1,68;0,45;1;-1,23;-0,732142857
Ravnica: City of Guilds;Tolsimir Wolfblood;FALSE;1,68;0,45;8;-1,23;-0,732142857
Rise of the Eldrazi;Gelatinous Genesis;TRUE;1,68;0,45;4;-1,23;-0,732142857
Rise of the Eldrazi;Suffer the Past;TRUE;1,68;0,45;8;-1,23;-0,732142857
Saviors of Kamigawa;Wine of Blood and Iron;TRUE;1,68;0,45;6;-1,23;-0,732142857
Seventh Edition;Lure;TRUE;1,68;0,45;2;-1,23;-0,732142857
Shadowmoor;Aphotic Wisps;TRUE;1,68;0,45;1;-1,23;-0,732142857
Tenth Edition;True Believer;FALSE;1,68;0,45;1;-1,23;-0,732142857
Time Spiral;Ophidian Eye;TRUE;1,68;0,45;2;-1,23;-0,732142857
Unhinged;Face to Face;TRUE;1,68;0,45;8;-1,23;-0,732142857
Unhinged;Stone-Cold Basilisk;TRUE;1,68;0,45;1;-1,23;-0,732142857
Urza's Destiny;Wake of Destruction;FALSE;1,68;0,45;1;-1,23;-0,732142857
Legions;Celestial Gatekeeper;TRUE;2,95;0,79;2;-2,16;-0,73220339
Ninth Edition;Blinking Spirit;TRUE;2,95;0,79;7;-2,16;-0,73220339
Commander 2011;Anger;FALSE;4,22;1,13;14;-3,09;-0,732227488
Future Sight;Magus of the Vineyard;TRUE;4,22;1,13;6;-3,09;-0,732227488
Legions;Wirewood Channeler;TRUE;4,22;1,13;4;-3,09;-0,732227488
Commander 2016;Sol Ring;FALSE;2,36;0,63;20;-1,73;-0,733050847
Future Sight;Intervention Pact;FALSE;2,36;0,63;8;-1,73;-0,733050847
Planeshift;Draco;FALSE;2,36;0,63;2;-1,73;-0,733050847
Revised Edition;Regrowth;FALSE;2,36;0,63;12;-1,73;-0,733050847
Aether Revolt;Efficient Construction;TRUE;0,3;0,08;15;-0,22;-0,733333333
Aether Revolt;Restoration Specialist;TRUE;0,3;0,08;9;-0,22;-0,733333333
Alara Reborn;Arsenal Thresher;TRUE;0,3;0,08;16;-0,22;-0,733333333
Alara Reborn;Bant Sureblade;TRUE;0,3;0,08;3;-0,22;-0,733333333
Alara Reborn;Captured Sunlight;TRUE;0,3;0,08;5;-0,22;-0,733333333
Alara Reborn;Ethercaste Knight;TRUE;0,3;0,08;15;-0,22;-0,733333333
Alara Reborn;Ethersworn Shieldmage;TRUE;0,3;0,08;13;-0,22;-0,733333333
Alara Reborn;Etherwrought Page;TRUE;0,3;0,08;11;-0,22;-0,733333333
Alara Reborn;Filigree Angel;FALSE;0,3;0,08;1;-0,22;-0,733333333
Alara Reborn;Giant Ambush Beetle;TRUE;0,3;0,08;11;-0,22;-0,733333333
Alara Reborn;Morbid Bloom;TRUE;0,3;0,08;11;-0,22;-0,733333333
Alara Reborn;Naya Sojourners;TRUE;0,3;0,08;20;-0,22;-0,733333333
Alara Reborn;Sages of the Anima;FALSE;0,3;0,08;8;-0,22;-0,733333333
Amonkhet;Destined // Lead;TRUE;0,3;0,08;18;-0,22;-0,733333333
Amonkhet;Kefnet's Monument;TRUE;0,3;0,08;10;-0,22;-0,733333333
Amonkhet;Reduce // Rubble;TRUE;0,3;0,08;12;-0,22;-0,733333333
Amonkhet;Stir the Sands;TRUE;0,3;0,08;12;-0,22;-0,733333333
Anthologies;Drifting Meadow;FALSE;0,3;0,08;2;-0,22;-0,733333333
Apocalypse;Bog Gnarr;TRUE;0,3;0,08;6;-0,22;-0,733333333
Apocalypse;Captain's Maneuver;TRUE;0,3;0,08;4;-0,22;-0,733333333
Apocalypse;False Dawn;FALSE;0,3;0,08;8;-0,22;-0,733333333
Apocalypse;Mask of Intolerance;FALSE;0,3;0,08;8;-0,22;-0,733333333
Apocalypse;Mind Extraction;TRUE;0,3;0,08;10;-0,22;-0,733333333
Apocalypse;Overgrown Estate;FALSE;0,3;0,08;8;-0,22;-0,733333333
Apocalypse;Tranquil Path;TRUE;0,3;0,08;7;-0,22;-0,733333333
Archenemy;Breath of Darigaaz;FALSE;0,3;0,08;11;-0,22;-0,733333333
Archenemy;Rakdos Guildmage;FALSE;0,3;0,08;7;-0,22;-0,733333333
Archenemy;Synod Sanctum;FALSE;0,3;0,08;12;-0,22;-0,733333333
Avacyn Restored;Death Wind;TRUE;0,3;0,08;8;-0,22;-0,733333333
Avacyn Restored;Elgaud Shieldmate;TRUE;0,3;0,08;8;-0,22;-0,733333333
Avacyn Restored;Farbog Explorer;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Fleeting Distraction;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Ghostform;TRUE;0,3;0,08;14;-0,22;-0,733333333
Avacyn Restored;Ghoulflesh;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Hound of Griselbrand;FALSE;0,3;0,08;8;-0,22;-0,733333333
Avacyn Restored;Hunted Ghoul;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Marrow Bats;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Midnight Duelist;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Pathbreaker Wurm;TRUE;0,3;0,08;17;-0,22;-0,733333333
Avacyn Restored;Renegade Demon;TRUE;0,3;0,08;11;-0,22;-0,733333333
Avacyn Restored;Riot Ringleader;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Scrapskin Drake;TRUE;0,3;0,08;11;-0,22;-0,733333333
Avacyn Restored;Scroll of Griselbrand;TRUE;0,3;0,08;15;-0,22;-0,733333333
Avacyn Restored;Second Guess;TRUE;0,3;0,08;20;-0,22;-0,733333333
Avacyn Restored;Stern Mentor;TRUE;0,3;0,08;15;-0,22;-0,733333333
Avacyn Restored;Uncanny Speed;TRUE;0,3;0,08;16;-0,22;-0,733333333
Avacyn Restored;Vorstclaw;TRUE;0,3;0,08;15;-0,22;-0,733333333
Battle for Zendikar;Forerunner of Slaughter;TRUE;0,3;0,08;11;-0,22;-0,733333333
Battle for Zendikar;Ruination Guide;TRUE;0,3;0,08;16;-0,22;-0,733333333
Betrayers of Kamigawa;First Volley;TRUE;0,3;0,08;7;-0,22;-0,733333333
Betrayers of Kamigawa;Frost Ogre;TRUE;0,3;0,08;2;-0,22;-0,733333333
Betrayers of Kamigawa;Frostling;TRUE;0,3;0,08;5;-0,22;-0,733333333
Betrayers of Kamigawa;Ire of Kaminari;TRUE;0,3;0,08;3;-0,22;-0,733333333
Betrayers of Kamigawa;Matsu-Tribe Sniper;TRUE;0,3;0,08;4;-0,22;-0,733333333
Betrayers of Kamigawa;Minamo's Meddling;TRUE;0,3;0,08;2;-0,22;-0,733333333
Betrayers of Kamigawa;Moonlit Strider;TRUE;0,3;0,08;3;-0,22;-0,733333333
Betrayers of Kamigawa;Shinka Gatekeeper;TRUE;0,3;0,08;1;-0,22;-0,733333333
Betrayers of Kamigawa;Skullmane Baku;TRUE;0,3;0,08;1;-0,22;-0,733333333
Betrayers of Kamigawa;Toils of Night and Day;TRUE;0,3;0,08;3;-0,22;-0,733333333
Betrayers of Kamigawa;Uproot;TRUE;0,3;0,08;2;-0,22;-0,733333333
Born of the Gods;Astral Cornucopia;FALSE;0,3;0,08;8;-0,22;-0,733333333
Born of the Gods;Dawn to Dusk;TRUE;0,3;0,08;16;-0,22;-0,733333333
Born of the Gods;Nessian Demolok;TRUE;0,3;0,08;20;-0,22;-0,733333333
Born of the Gods;Reap What Is Sown;TRUE;0,3;0,08;14;-0,22;-0,733333333
Born of the Gods;Snake of the Golden Grove;TRUE;0,3;0,08;20;-0,22;-0,733333333
Champions of Kamigawa;Akki Lavarunner // Tok-Tok, Volcano Born;FALSE;0,3;0,08;7;-0,22;-0,733333333
Champions of Kamigawa;Akki Rockspeaker;TRUE;0,3;0,08;7;-0,22;-0,733333333
Champions of Kamigawa;Burr Grafter;TRUE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Hair-Strung Koto;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Imi Statue;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Jade Idol;TRUE;0,3;0,08;7;-0,22;-0,733333333
Champions of Kamigawa;Kami of the Painted Road;TRUE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Kitsune Healer;TRUE;0,3;0,08;4;-0,22;-0,733333333
Champions of Kamigawa;Kodama's Might;TRUE;0,3;0,08;5;-0,22;-0,733333333
Champions of Kamigawa;Kumano, Master Yamabushi;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Order of the Sacred Bell;TRUE;0,3;0,08;3;-0,22;-0,733333333
Champions of Kamigawa;Quiet Purity;TRUE;0,3;0,08;5;-0,22;-0,733333333
Champions of Kamigawa;Reverse the Sands;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Reweave;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Scuttling Death;TRUE;0,3;0,08;5;-0,22;-0,733333333
Champions of Kamigawa;Soilshaper;TRUE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Soul of Magma;TRUE;0,3;0,08;2;-0,22;-0,733333333
Champions of Kamigawa;Soulblast;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Struggle for Sanity;TRUE;0,3;0,08;4;-0,22;-0,733333333
Champions of Kamigawa;Terashi's Cry;TRUE;0,3;0,08;4;-0,22;-0,733333333
Champions of Kamigawa;The Unspeakable;FALSE;0,3;0,08;8;-0,22;-0,733333333
Champions of Kamigawa;Uyo, Silent Prophet;FALSE;0,3;0,08;6;-0,22;-0,733333333
Champions of Kamigawa;Yamabushi's Flame;TRUE;0,3;0,08;5;-0,22;-0,733333333
Chronicles;Ayesha Tanaka;FALSE;0,3;0,08;4;-0,22;-0,733333333
Chronicles;Book of Rass;FALSE;0,3;0,08;8;-0,22;-0,733333333
Chronicles;Jeweled Bird;FALSE;0,3;0,08;8;-0,22;-0,733333333
Chronicles;Juxtapose;FALSE;0,3;0,08;8;-0,22;-0,733333333
Chronicles;Land's Edge;FALSE;0,3;0,08;4;-0,22;-0,733333333
Chronicles;Stangg;FALSE;0,3;0,08;8;-0,22;-0,733333333
Chronicles;Voodoo Doll;FALSE;0,3;0,08;8;-0,22;-0,733333333
Coldsnap;Ronom Hulk;TRUE;0,3;0,08;4;-0,22;-0,733333333
Coldsnap;Sek'Kuar, Deathkeeper;FALSE;0,3;0,08;6;-0,22;-0,733333333
Commander 2015;Melek, Izzet Paragon;FALSE;0,3;0,08;8;-0,22;-0,733333333
Commander 2016;Astral Cornucopia;FALSE;0,3;0,08;8;-0,22;-0,733333333
Commander 2016;Ghastly Conscription;FALSE;0,3;0,08;8;-0,22;-0,733333333
Commander 2016;Shamanic Revelation;FALSE;0,3;0,08;8;-0,22;-0,733333333
Commander Anthology;Surveyor's Scope;FALSE;0,3;0,08;6;-0,22;-0,733333333
Conflux;Charnelhoard Wurm;FALSE;0,3;0,08;8;-0,22;-0,733333333
Conflux;Cumber Stone;TRUE;0,3;0,08;7;-0,22;-0,733333333
Conflux;Cylian Sunsinger;FALSE;0,3;0,08;8;-0,22;-0,733333333
Conflux;Drag Down;TRUE;0,3;0,08;19;-0,22;-0,733333333
Conflux;Esper Cormorants;TRUE;0,3;0,08;12;-0,22;-0,733333333
Conflux;Extractor Demon;FALSE;0,3;0,08;8;-0,22;-0,733333333
Conflux;Filigree Fracture;TRUE;0,3;0,08;11;-0,22;-0,733333333
Conflux;Fleshformer;TRUE;0,3;0,08;14;-0,22;-0,733333333
Conflux;Goblin Outlander;TRUE;0,3;0,08;9;-0,22;-0,733333333
Conflux;Jhessian Balmgiver;TRUE;0,3;0,08;16;-0,22;-0,733333333
Conflux;Manaforce Mace;TRUE;0,3;0,08;12;-0,22;-0,733333333
Conflux;Sacellum Archers;TRUE;0,3;0,08;12;-0,22;-0,733333333
Conflux;Salvage Slasher;TRUE;0,3;0,08;15;-0,22;-0,733333333
Conflux;Voices from the Void;TRUE;0,3;0,08;9;-0,22;-0,733333333
Conflux;Worldly Counsel;TRUE;0,3;0,08;11;-0,22;-0,733333333
Conspiracy;Aether Tradewinds;TRUE;0,3;0,08;19;-0,22;-0,733333333
Conspiracy;Brago's Representative;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy;Charging Rhino;TRUE;0,3;0,08;20;-0,22;-0,733333333
Conspiracy;Cinder Wall;TRUE;0,3;0,08;16;-0,22;-0,733333333
Conspiracy;Galvanic Juggernaut;TRUE;0,3;0,08;13;-0,22;-0,733333333
Conspiracy;Infectious Horror;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy;Kor Chant;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy;Minamo Scrollkeeper;TRUE;0,3;0,08;20;-0,22;-0,733333333
Conspiracy;Muzzio's Preparations;TRUE;0,3;0,08;14;-0,22;-0,733333333
Conspiracy;Orcish Cannonade;TRUE;0,3;0,08;20;-0,22;-0,733333333
Conspiracy;Pillarfield Ox;TRUE;0,3;0,08;20;-0,22;-0,733333333
Conspiracy;Secret Summoning;TRUE;0,3;0,08;12;-0,22;-0,733333333
Conspiracy: Take the Crown;Animus of Predation;TRUE;0,3;0,08;13;-0,22;-0,733333333
Conspiracy: Take the Crown;Ascended Lawmage;TRUE;0,3;0,08;14;-0,22;-0,733333333
Conspiracy: Take the Crown;Ballot Broker;TRUE;0,3;0,08;16;-0,22;-0,733333333
Conspiracy: Take the Crown;Burn Away;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy: Take the Crown;Carnage Gladiator;TRUE;0,3;0,08;15;-0,22;-0,733333333
Conspiracy: Take the Crown;Gods Willing;TRUE;0,3;0,08;1;-0,22;-0,733333333
Conspiracy: Take the Crown;Incendiary Dissent;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy: Take the Crown;Irresistible Prey;TRUE;0,3;0,08;15;-0,22;-0,733333333
Conspiracy: Take the Crown;Nessian Asp;TRUE;0,3;0,08;17;-0,22;-0,733333333
Conspiracy: Take the Crown;Pharika's Mender;TRUE;0,3;0,08;15;-0,22;-0,733333333
Conspiracy: Take the Crown;Shipwreck Singer;TRUE;0,3;0,08;19;-0,22;-0,733333333
Conspiracy: Take the Crown;Spire Phantasm;TRUE;0,3;0,08;16;-0,22;-0,733333333
Conspiracy: Take the Crown;Throne Warden;TRUE;0,3;0,08;15;-0,22;-0,733333333
Dark Ascension;Break of Day;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Briarpack Alpha;TRUE;0,3;0,08;11;-0,22;-0,733333333
Dark Ascension;Clinging Mists;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Crushing Vines;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Favor of the Woods;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Harrowing Journey;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Headless Skaab;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Heavy Mattock;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Kessig Recluse;TRUE;0,3;0,08;12;-0,22;-0,733333333
Dark Ascension;Niblis of the Breath;TRUE;0,3;0,08;16;-0,22;-0,733333333
Dark Ascension;Reap the Seagraf;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dark Ascension;Séance;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dark Ascension;Somberwald Dryad;TRUE;0,3;0,08;17;-0,22;-0,733333333
Darksteel;Auriok Glaivemaster;TRUE;0,3;0,08;13;-0,22;-0,733333333
Darksteel;Chromescale Drake;FALSE;0,3;0,08;6;-0,22;-0,733333333
Darksteel;Dross Golem;TRUE;0,3;0,08;3;-0,22;-0,733333333
Darksteel;Magnetic Flux;TRUE;0,3;0,08;11;-0,22;-0,733333333
Darksteel;Tangle Golem;TRUE;0,3;0,08;5;-0,22;-0,733333333
Dissension;Aurora Eidolon;TRUE;0,3;0,08;11;-0,22;-0,733333333
Dissension;Cackling Flames;TRUE;0,3;0,08;10;-0,22;-0,733333333
Dissension;Demon's Jester;TRUE;0,3;0,08;17;-0,22;-0,733333333
Dissension;Gobhobbler Rats;TRUE;0,3;0,08;5;-0,22;-0,733333333
Dissension;Kill-Suit Cultist;TRUE;0,3;0,08;12;-0,22;-0,733333333
Dissension;Nettling Curse;TRUE;0,3;0,08;7;-0,22;-0,733333333
Dissension;Riot Spikes;TRUE;0,3;0,08;7;-0,22;-0,733333333
Dissension;Valor Made Real;TRUE;0,3;0,08;7;-0,22;-0,733333333
Dissension;Vesper Ghoul;TRUE;0,3;0,08;9;-0,22;-0,733333333
Dissension;Wakestone Gargoyle;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dissension;Writ of Passage;TRUE;0,3;0,08;5;-0,22;-0,733333333
Dragon's Maze;Beetleform Mage;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Boros Guildgate;TRUE;0,3;0,08;2;-0,22;-0,733333333
Dragon's Maze;Carnage Gladiator;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Exava, Rakdos Blood Witch;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragon's Maze;Feral Animist;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Gleam of Battle;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Gruul Cluestone;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Mindstatic;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Obzedat's Aid;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragon's Maze;Plasm Capture;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragon's Maze;Rot Farm Skeleton;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Species Gorger;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Warped Physique;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragon's Maze;Woodlot Crawler;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragons of Tarkir;Damnable Pact;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragons of Tarkir;Death Wind;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragons of Tarkir;Hidden Dragonslayer;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragons of Tarkir;Marang River Skeleton;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragons of Tarkir;Seismic Rupture;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragons of Tarkir;Sight Beyond Sight;TRUE;0,3;0,08;20;-0,22;-0,733333333
Dragons of Tarkir;Sight of the Scalelords;TRUE;0,3;0,08;15;-0,22;-0,733333333
Dragons of Tarkir;Surrak, the Hunt Caller;FALSE;0,3;0,08;8;-0,22;-0,733333333
Dragons of Tarkir;Ukud Cobra;TRUE;0,3;0,08;20;-0,22;-0,733333333
Duel Decks: Elspeth vs. Kiora;Dictate of Heliod;FALSE;0,3;0,08;8;-0,22;-0,733333333
Duel Decks: Knights vs. Dragons;Dragon's Claw;FALSE;0,3;0,08;10;-0,22;-0,733333333
Duel Decks: Sorin vs. Tibalt;Hellrider;FALSE;0,3;0,08;8;-0,22;-0,733333333
Duel Decks: Zendikar vs. Eldrazi;Artisan of Kozilek;FALSE;0,3;0,08;1;-0,22;-0,733333333
Eighth Edition;Bog Wraith;TRUE;0,3;0,08;10;-0,22;-0,733333333
Eighth Edition;Cowardice;FALSE;0,3;0,08;8;-0,22;-0,733333333
Eighth Edition;Dark Banishing;TRUE;0,3;0,08;3;-0,22;-0,733333333
Eighth Edition;Deflection;FALSE;0,3;0,08;3;-0,22;-0,733333333
Eighth Edition;Hill Giant;TRUE;0,3;0,08;12;-0,22;-0,733333333
Eighth Edition;Mana Clash;FALSE;0,3;0,08;2;-0,22;-0,733333333
Eighth Edition;Master Healer;FALSE;0,3;0,08;6;-0,22;-0,733333333
Eighth Edition;Panic Attack;TRUE;0,3;0,08;11;-0,22;-0,733333333
Eighth Edition;Sage of Lat-Nam;FALSE;0,3;0,08;3;-0,22;-0,733333333
Eighth Edition;Trained Armodon;TRUE;0,3;0,08;8;-0,22;-0,733333333
Eldritch Moon;Campaign of Vengeance;TRUE;0,3;0,08;11;-0,22;-0,733333333
Eldritch Moon;Cathar's Shield;TRUE;0,3;0,08;15;-0,22;-0,733333333
Eldritch Moon;Lunar Force;TRUE;0,3;0,08;17;-0,22;-0,733333333
Eldritch Moon;Turn Aside;TRUE;0,3;0,08;18;-0,22;-0,733333333
Eternal Masters;Flame-Kin Zealot;TRUE;0,3;0,08;11;-0,22;-0,733333333
Eternal Masters;Nekrataal;TRUE;0,3;0,08;12;-0,22;-0,733333333
Eternal Masters;Tooth and Claw;TRUE;0,3;0,08;18;-0,22;-0,733333333
Eternal Masters;Torrent of Souls;TRUE;0,3;0,08;16;-0,22;-0,733333333
Eventide;Cankerous Thirst;TRUE;0,3;0,08;6;-0,22;-0,733333333
Eventide;Grazing Kelpie;TRUE;0,3;0,08;20;-0,22;-0,733333333
